id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
100000,Private room in Greenpoint,439439,Sara,Brooklyn,Greenpoint,40.69681,-74.00253,Private room,79.0,30,8,2019-06-15,0.0,6,229
100001,Entire home/apt in Bushwick,967541,David,Brooklyn,Bushwick,40.66172,-73.92552,Entire home/apt,163.0,1,9,2019-07-15,0.72,1,197
100002,Entire home/apt in Crown Heights,569171,Miguel,Brooklyn,Crown Heights,40.7079,-73.96997,Entire home/apt,109.0,2,3,2019-03-15,0.0,1,0
100003,Private room in Chelsea,662253,Chen,Manhattan,Chelsea,40.77917,-73.95223,Private room,116.0,2,4,2019-01-15,0.17,2,104
100004,Private room in Upper West Side,961934,John,Manhattan,Upper West Side,40.75789,-73.98234,Private room,182.0,14,5,2019-01-15,0.38,4,162
100005,Entire home/apt in Hell's Kitchen,42572,Maria,Manhattan,Hell's Kitchen,40.7927,-73.96029,Entire home/apt,466.0,1,4,2019-05-15,0.0,1,365
100006,Entire home/apt in Park Slope,267708,David,Brooklyn,Park Slope,40.66969,-73.96236,Entire home/apt,122.0,1,8,2019-01-15,0.0,3,287
100007,Private room in Crown Heights,371550,Chen,Brooklyn,Crown Heights,40.69477,-73.97109,Private room,83.0,14,11,2019-02-15,0.55,1,359
100008,Entire home/apt in Harlem,831280,Miguel,Manhattan,Harlem,40.76834,-73.92716,Entire home/apt,138.0,7,15,2019-07-15,0.76,3,50
100009,Entire home/apt in Williamsburg,739244,Wei,Brooklyn,Williamsburg,40.66832,-73.95383,Entire home/apt,112.0,2,6,2019-02-15,0.34,5,316
100010,Private room in Park Slope,606409,Maria,Brooklyn,Park Slope,40.72222,-73.95988,Private room,79.0,2,17,2019-07-15,1.56,2,7
100011,Private room in Upper East Side,144727,Sara,Manhattan,Upper East Side,40.7847,-73.98228,Private room,122.0,1,0,,,3,205
100012,Entire home/apt in Hell's Kitchen,833863,Wei,Manhattan,Hell's Kitchen,40.83228,-73.9082,Entire home/apt,189.0,3,6,2019-07-15,0.62,5,127
100013,Entire home/apt in Bushwick,489763,John,Brooklyn,Bushwick,40.67056,-73.9967,Entire home/apt,159.0,2,15,2019-02-15,0.6,3,313
100014,Private room in Park Slope,168551,Maria,Brooklyn,Park Slope,40.66405,-73.91431,Private room,64.0,1,6,2019-02-15,0.55,9,1
100015,Entire home/apt in Crown Heights,313703,Maria,Brooklyn,Crown Heights,40.68409,-73.94184,Entire home/apt,109.0,5,24,2019-08-15,0.37,6,195
100016,Entire home/apt in Astoria,968341,Wei,Queens,Astoria,40.7395,-73.72456,Entire home/apt,49.0,3,5,2019-03-15,1.14,3,330
100017,Private room in Chelsea,6467,Alex,Manhattan,Chelsea,40.78153,-74.01338,Private room,117.0,30,7,2019-02-15,0.01,1,108
